rank,name,floor,_24h_vol,total_vol,owners,items
104,Moonlings NFT Official,0.0194,0.0,7,"2,912",10.000
105,OKX Football Cup,0.0001,0.0,1,"97,421",32
106,Zapper NFT V2,0.002,0.0,5,"86,996",30
107,KnownOriginDigitalAsset,0.0009,0.0,11,"16,754",187.025
108,Town Star,0.002,0.0,70,"65,284",1.561
109,THE SECRET SOCIETY XX,-,0.0,4,"2,714",6.666
110,Villagers of XOLO,0.05,0.0,14,"4,757",14.532
111,Goobers,0.021,0.0,31,"4,361",14.575
112,Chapter 7: Candle by Micah Johnson,0.9,0.0,3,933,1.232
113,A FIRE BURNS...,3.11,0.0,0,458,888
114,SpermNFT,-,0.0,0,418,1.000
115,Hall Of Fame Goat Lodge,3,0.0,7,"3,026",10.000
116,Juicebox Frens,0.0183,0.0,9,"2,871",6.969
117,The Boy who lost his mind Open Edition by Boss Logic,-,0.0,0,66,78
118,Cypher City,0.01,0.0,0,"2,788",8.886
119,Drug Receipts,0.102,0.0,7,"3,301",10.000
120,Rare Ghost Club,0.06,0.0,1,"2,455",5.005
121,Baby Battle Bots Gen One,0.01,0.0,0,"1,371",3.498
122,ImmortalPlayerCharacter,0.1,0.0,3,"3,878",11.998
123,Four Winds Open Edition by Blake Kathryn,-,0.0,0,49,319
124,0xLady,-,0.0,0,"2,710",10.000
125,Marilyn Monroe: American Dream,-,0.0,0,1,1
126,Verb,0.0128,0.0,19,"2,717",6.500
127,Hikari,0.009,0.0,32,"2,814",5.555
128,Super Golden Cloud Key,-,0.0,24,800,1
129,Cosmic Wyverns,-,0.0,0,"1,842",3.500
130,Raccoon Secret Society,-,0.0,0,"3,148",10.000
131,Free Hand,0.0299,0.0,5,"1,194",2.882
132,PulsesOfImagination,0.78,0.0,0,395,1.024
133,lobsterdao,0.8776,0.0,173,"1,895",3.542
134,RTFKT Space Drip x Nike Air Force 1,0.5,0.0,1,289,593
135,BearsOnTheBlock,0.0736,0.0,0,"3,151",9.495
136,posersnft,0.12,0.0,21,"1,471",5.000
137,Raising the Flag on Iwo Jima in 3D,-,0.0,0,5,5
138,MoonPepes,0.026,0.0,8,"1,340",4.200
139,Zunkz,0.0332,0.0,740,"3,436",10.000
140,Cryptoon Goonz,0.45,0.0,53,"2,916",6.969
141,Kahiru,0.039,0.0,13,"1,873",7.222
142,HashDemons,-,0.0,0,"1,580",6.660
143,VoxoDeus Minter,-,0.0,0,1,1
144,DeLorean Gullwing Open,-,0.0,0,18,18
145,SMOWL,0.2907,0.0,32,"1,350",4.201
146,NFTeams,0.133,0.0,22,"2,107",10.000
147,0xmons.xyz,13.6429,0.0,81,221,341
148,DeLorean (DMC) x Riocam #2,-,0.0,0,4,4
149,Wafuku,0.4439,0.0,0,"2,000",11.559
150,PixelMap,0.88,0.0,17,537,2.675
151,Memories Of A Masterpiece,-,0.0,4,516,999
152,NFT Worlds Genesis Avatars,0.09,0.0,28,"4,086",11.908
