rank,name,floor,_24h_vol,total_vol,owners,items
104,THE SECRET SOCIETY XX,-,0.0,4,"2,714",6.666
105,Villagers of XOLO,0.05,0.0,14,"4,757",14.532
106,Goobers,0.021,0.0,31,"4,361",14.575
107,Chapter 7: Candle by Micah Johnson,0.9,0.0,3,933,1.232
108,A FIRE BURNS...,3.11,0.0,0,458,888
109,SpermNFT,-,0.0,0,418,1.000
110,Hall Of Fame Goat Lodge,3,0.0,7,"3,026",10.000
111,Juicebox Frens,0.0183,0.0,9,"2,871",6.969
112,The Boy who lost his mind Open Edition by Boss Logic,-,0.0,0,66,78
113,Cypher City,0.01,0.0,0,"2,788",8.886
114,Drug Receipts,0.102,0.0,7,"3,297",10.000
115,Rare Ghost Club,0.06,0.0,1,"2,455",5.005
116,Baby Battle Bots Gen One,0.01,0.0,0,"1,371",3.498
117,ImmortalPlayerCharacter,0.1,0.0,3,"3,878",11.998
118,Four Winds Open Edition by Blake Kathryn,-,0.0,0,49,319
119,0xLady,-,0.0,0,"2,710",10.000
120,Marilyn Monroe: American Dream,-,0.0,0,1,1
121,Verb,0.0128,0.0,19,"2,717",6.500
122,Hikari,0.009,0.0,32,"2,814",5.555
123,Super Golden Cloud Key,-,0.0,24,800,1
124,Cosmic Wyverns,-,0.0,0,"1,842",3.500
125,Raccoon Secret Society,-,0.0,0,"3,148",10.000
126,Free Hand,0.0299,0.0,5,"1,194",2.882
127,PulsesOfImagination,0.78,0.0,0,395,1.024
128,lobsterdao,0.8776,0.0,173,"1,895",3.542
129,RTFKT Space Drip x Nike Air Force 1,0.5,0.0,1,289,593
130,BearsOnTheBlock,0.0736,0.0,0,"3,153",9.495
131,posersnft,0.12,0.0,21,"1,471",5.000
132,Raising the Flag on Iwo Jima in 3D,-,0.0,0,5,5
133,MoonPepes,0.026,0.0,8,"1,340",4.200
134,Zunkz,0.0332,0.0,740,"3,436",10.000
135,Cryptoon Goonz,0.45,0.0,53,"2,917",6.969
136,Kahiru,0.039,0.0,13,"1,873",7.222
137,HashDemons,-,0.0,0,"1,580",6.660
138,VoxoDeus Minter,-,0.0,0,1,1
139,DeLorean Gullwing Open,-,0.0,0,18,18
140,SMOWL,0.2907,0.0,32,"1,350",4.201
141,NFTeams,0.133,0.0,22,"2,107",10.000
142,0xmons.xyz,13.6429,0.0,81,221,341
143,DeLorean (DMC) x Riocam #2,-,0.0,0,4,4
144,Wafuku,0.4439,0.0,0,"2,000",11.559
145,PixelMap,0.88,0.0,17,537,2.675
146,Memories Of A Masterpiece,-,0.0,4,516,999
147,NFT Worlds Genesis Avatars,0.09,0.0,28,"4,086",11.908
148,JOYWORLD JOYtoys,0.49,0.0,0,"1,515",3.422
149,AO Art Ball,0.13,0.0,12,"3,697",6.776
150,Oz Lifetime Pass,7.9,0.0,0,63,175
151,Art Blocks,10,0.0,876,"2,929",10.746
152,n,0.02,0.0,17.820,"1,864",8.888
153,LandVoucher,0.351,0.0,25,995,1.836
154,Copa America 2021: Goleador,-,0.0,0,1,1
155,KPR,0.0014,0.0,476,"3,348",10.000
156,Something Token,0.1,0.0,367,"3,929",10.000
157,Bone Ducks,-,0.0,0,"3,613",6.555
158,Angry Pitbull Club,0.048,0.0,8,"4,799",10.000
159,BYOLand,0.1234,0.0,134,"2,637",10.056
160,apileofbones,0.01,0.0,1,"1,010",6.666
161,Pudgy Rods,0.5306,0.0,44,"3,004",7.398
162,Floki Inu - Ruby,-,0.0,1,376,455
163,BladeRunner Punks,0.0009,0.0,0,"3,971",10.000
164,Heavy Metal: Taarna,-,0.0,0,1,1
165,CryptoJankyz,0.085,0.0,79,"5,742",13.684
166,The Sandbox,-,0.0,0,"2,702",96
